year,crop,indicator,value,unit,flag,country,source
1995,Wheat,Production (t),6490400.0,t,A,Kazakhstan,FAOSTAT_QCL
1996,Wheat,Production (t),7678100.0,t,A,Kazakhstan,FAOSTAT_QCL
1997,Wheat,Production (t),8955000.0,t,A,Kazakhstan,FAOSTAT_QCL
1998,Wheat,Production (t),4746300.0,t,A,Kazakhstan,FAOSTAT_QCL
1999,Wheat,Production (t),11241800.0,t,A,Kazakhstan,FAOSTAT_QCL
2000,Wheat,Production (t),9073460.0,t,A,Kazakhstan,FAOSTAT_QCL
2001,Wheat,Production (t),12706810.0,t,A,Kazakhstan,FAOSTAT_QCL
2002,Wheat,Production (t),12699980.0,t,A,Kazakhstan,FAOSTAT_QCL
2003,Wheat,Production (t),11537420.0,t,A,Kazakhstan,FAOSTAT_QCL
2004,Wheat,Production (t),9936970.0,t,A,Kazakhstan,FAOSTAT_QCL
2005,Wheat,Production (t),11198330.0,t,A,Kazakhstan,FAOSTAT_QCL
2006,Wheat,Production (t),13460480.0,t,A,Kazakhstan,FAOSTAT_QCL
2007,Wheat,Production (t),16466870.0,t,A,Kazakhstan,FAOSTAT_QCL
2008,Wheat,Production (t),12538190.0,t,A,Kazakhstan,FAOSTAT_QCL
2009,Wheat,Production (t),17052020.0,t,A,Kazakhstan,FAOSTAT_QCL
2010,Wheat,Production (t),9638400.0,t,A,Kazakhstan,FAOSTAT_QCL
2011,Wheat,Production (t),22732066.51,t,A,Kazakhstan,FAOSTAT_QCL
2012,Wheat,Production (t),9841127.62,t,A,Kazakhstan,FAOSTAT_QCL
2013,Wheat,Production (t),13940809.27,t,A,Kazakhstan,FAOSTAT_QCL
2014,Wheat,Production (t),12996864.74,t,A,Kazakhstan,FAOSTAT_QCL
2015,Wheat,Production (t),13746967.0,t,A,Kazakhstan,FAOSTAT_QCL
2016,Wheat,Production (t),14985379.0,t,A,Kazakhstan,FAOSTAT_QCL
2017,Wheat,Production (t),14802865.0,t,A,Kazakhstan,FAOSTAT_QCL
2018,Wheat,Production (t),13944108.0,t,A,Kazakhstan,FAOSTAT_QCL
2019,Wheat,Production (t),11451648.71,t,A,Kazakhstan,FAOSTAT_QCL
2020,Wheat,Production (t),14257950.14,t,A,Kazakhstan,FAOSTAT_QCL
2021,Wheat,Production (t),11814123.97,t,A,Kazakhstan,FAOSTAT_QCL
2022,Wheat,Production (t),16404491.25,t,A,Kazakhstan,FAOSTAT_QCL
2023,Wheat,Production (t),12110913.0,t,A,Kazakhstan,FAOSTAT_QCL
2024,Wheat,Production (t),18576694.15,t,A,Kazakhstan,FAOSTAT_QCL
1994,Barley,Producer Price (USD/t),83.9,USD,A,Kazakhstan,FAOSTAT_PP1
1995,Barley,Producer Price (USD/t),65.3,USD,A,Kazakhstan,FAOSTAT_PP1
1996,Barley,Producer Price (USD/t),80.4,USD,A,Kazakhstan,FAOSTAT_PP1
1997,Barley,Producer Price (USD/t),64.5,USD,A,Kazakhstan,FAOSTAT_PP1
1998,Barley,Producer Price (USD/t),52.3,USD,A,Kazakhstan,FAOSTAT_PP1
1999,Barley,Producer Price (USD/t),35.3,USD,A,Kazakhstan,FAOSTAT_PP1
2000,Barley,Producer Price (USD/t),45.1,USD,A,Kazakhstan,FAOSTAT_PP1
2001,Barley,Producer Price (USD/t),53.6,USD,A,Kazakhstan,FAOSTAT_PP1
2002,Barley,Producer Price (USD/t),46.3,USD,A,Kazakhstan,FAOSTAT_PP1
2003,Barley,Producer Price (USD/t),45.8,USD,A,Kazakhstan,FAOSTAT_PP1
2004,Barley,Producer Price (USD/t),63.0,USD,A,Kazakhstan,FAOSTAT_PP1
2005,Barley,Producer Price (USD/t),69.9,USD,A,Kazakhstan,FAOSTAT_PP1
2006,Barley,Producer Price (USD/t),73.0,USD,A,Kazakhstan,FAOSTAT_PP1
2007,Barley,Producer Price (USD/t),87.3,USD,A,Kazakhstan,FAOSTAT_PP1
2008,Barley,Producer Price (USD/t),149.0,USD,A,Kazakhstan,FAOSTAT_PP1
2009,Barley,Producer Price (USD/t),125.3,USD,A,Kazakhstan,FAOSTAT_PP1
2010,Barley,Producer Price (USD/t),92.3,USD,A,Kazakhstan,FAOSTAT_PP1
2011,Barley,Producer Price (USD/t),116.0,USD,A,Kazakhstan,FAOSTAT_PP1
2012,Barley,Producer Price (USD/t),125.0,USD,A,Kazakhstan,FAOSTAT_PP1
2013,Barley,Producer Price (USD/t),158.5,USD,A,Kazakhstan,FAOSTAT_PP1
2014,Barley,Producer Price (USD/t),127.2,USD,A,Kazakhstan,FAOSTAT_PP1
2015,Barley,Producer Price (USD/t),109.5,USD,A,Kazakhstan,FAOSTAT_PP1
2016,Barley,Producer Price (USD/t),76.6,USD,A,Kazakhstan,FAOSTAT_PP1
2017,Barley,Producer Price (USD/t),101.8,USD,A,Kazakhstan,FAOSTAT_PP1
2018,Barley,Producer Price (USD/t),100.8,USD,A,Kazakhstan,FAOSTAT_PP1
2019,Barley,Producer Price (USD/t),122.9,USD,A,Kazakhstan,FAOSTAT_PP1
2020,Barley,Producer Price (USD/t),132.9,USD,A,Kazakhstan,FAOSTAT_PP1
2021,Barley,Producer Price (USD/t),187.2,USD,A,Kazakhstan,FAOSTAT_PP1
2022,Barley,Producer Price (USD/t),195.8,USD,A,Kazakhstan,FAOSTAT_PP1
2023,Barley,Producer Price (USD/t),151.5,USD,A,Kazakhstan,FAOSTAT_PP1
2024,Barley,Producer Price (USD/t),126.9,USD,A,Kazakhstan,FAOSTAT_PP1
1994,Maize (corn),Producer Price (USD/t),202.0,USD,A,Kazakhstan,FAOSTAT_PP1
1995,Maize (corn),Producer Price (USD/t),132.2,USD,A,Kazakhstan,FAOSTAT_PP1
1996,Maize (corn),Producer Price (USD/t),101.6,USD,A,Kazakhstan,FAOSTAT_PP1
1997,Maize (corn),Producer Price (USD/t),109.8,USD,A,Kazakhstan,FAOSTAT_PP1
1998,Maize (corn),Producer Price (USD/t),84.8,USD,A,Kazakhstan,FAOSTAT_PP1
1999,Maize (corn),Producer Price (USD/t),58.5,USD,A,Kazakhstan,FAOSTAT_PP1
2000,Maize (corn),Producer Price (USD/t),65.0,USD,A,Kazakhstan,FAOSTAT_PP1
2001,Maize (corn),Producer Price (USD/t),72.0,USD,A,Kazakhstan,FAOSTAT_PP1
2002,Maize (corn),Producer Price (USD/t),70.8,USD,A,Kazakhstan,FAOSTAT_PP1
2003,Maize (corn),Producer Price (USD/t),68.2,USD,A,Kazakhstan,FAOSTAT_PP1
2004,Maize (corn),Producer Price (USD/t),91.1,USD,A,Kazakhstan,FAOSTAT_PP1
2005,Maize (corn),Producer Price (USD/t),103.5,USD,A,Kazakhstan,FAOSTAT_PP1
2006,Maize (corn),Producer Price (USD/t),107.5,USD,A,Kazakhstan,FAOSTAT_PP1
2007,Maize (corn),Producer Price (USD/t),123.1,USD,A,Kazakhstan,FAOSTAT_PP1
2008,Maize (corn),Producer Price (USD/t),176.8,USD,A,Kazakhstan,FAOSTAT_PP1
2009,Maize (corn),Producer Price (USD/t),157.8,USD,A,Kazakhstan,FAOSTAT_PP1
2010,Maize (corn),Producer Price (USD/t),153.0,USD,A,Kazakhstan,FAOSTAT_PP1
2011,Maize (corn),Producer Price (USD/t),184.8,USD,A,Kazakhstan,FAOSTAT_PP1
2012,Maize (corn),Producer Price (USD/t),194.0,USD,A,Kazakhstan,FAOSTAT_PP1
2013,Maize (corn),Producer Price (USD/t),200.7,USD,A,Kazakhstan,FAOSTAT_PP1
2014,Maize (corn),Producer Price (USD/t),163.6,USD,A,Kazakhstan,FAOSTAT_PP1
2015,Maize (corn),Producer Price (USD/t),155.6,USD,A,Kazakhstan,FAOSTAT_PP1
2016,Maize (corn),Producer Price (USD/t),114.2,USD,A,Kazakhstan,FAOSTAT_PP1
2017,Maize (corn),Producer Price (USD/t),114.9,USD,A,Kazakhstan,FAOSTAT_PP1
2018,Maize (corn),Producer Price (USD/t),113.7,USD,A,Kazakhstan,FAOSTAT_PP1
2019,Maize (corn),Producer Price (USD/t),153.1,USD,A,Kazakhstan,FAOSTAT_PP1
2020,Maize (corn),Producer Price (USD/t),177.4,USD,A,Kazakhstan,FAOSTAT_PP1
2021,Maize (corn),Producer Price (USD/t),133.8,USD,A,Kazakhstan,FAOSTAT_PP1
2022,Maize (corn),Producer Price (USD/t),179.9,USD,A,Kazakhstan,FAOSTAT_PP1
2023,Maize (corn),Producer Price (USD/t),171.5,USD,A,Kazakhstan,FAOSTAT_PP1
2024,Maize (corn),Producer Price (USD/t),135.6,USD,A,Kazakhstan,FAOSTAT_PP1
2013,Rapeseed,Producer Price (USD/t),314.8,USD,A,Kazakhstan,FAOSTAT_PP1
2014,Rapeseed,Producer Price (USD/t),266.2,USD,A,Kazakhstan,FAOSTAT_PP1
2015,Rapeseed,Producer Price (USD/t),227.2,USD,A,Kazakhstan,FAOSTAT_PP1
2016,Rapeseed,Producer Price (USD/t),209.1,USD,A,Kazakhstan,FAOSTAT_PP1
2017,Rapeseed,Producer Price (USD/t),309.6,USD,A,Kazakhstan,FAOSTAT_PP1
2018,Rapeseed,Producer Price (USD/t),319.9,USD,A,Kazakhstan,FAOSTAT_PP1
2019,Rapeseed,Producer Price (USD/t),343.1,USD,A,Kazakhstan,FAOSTAT_PP1
2020,Rapeseed,Producer Price (USD/t),424.8,USD,A,Kazakhstan,FAOSTAT_PP1
2021,Rapeseed,Producer Price (USD/t),624.5,USD,A,Kazakhstan,FAOSTAT_PP1
2022,Rapeseed,Producer Price (USD/t),479.1,USD,A,Kazakhstan,FAOSTAT_PP1
2023,Rapeseed,Producer Price (USD/t),410.0,USD,A,Kazakhstan,FAOSTAT_PP1
2024,Rapeseed,Producer Price (USD/t),413.7,USD,A,Kazakhstan,FAOSTAT_PP1
1994,Sunflower seed,Producer Price (USD/t),228.6,USD,A,Kazakhstan,FAOSTAT_PP1
1995,Sunflower seed,Producer Price (USD/t),236.7,USD,A,Kazakhstan,FAOSTAT_PP1
1996,Sunflower seed,Producer Price (USD/t),206.5,USD,A,Kazakhstan,FAOSTAT_PP1
1997,Sunflower seed,Producer Price (USD/t),185.4,USD,A,Kazakhstan,FAOSTAT_PP1
1998,Sunflower seed,Producer Price (USD/t),214.1,USD,A,Kazakhstan,FAOSTAT_PP1
1999,Sunflower seed,Producer Price (USD/t),155.7,USD,A,Kazakhstan,FAOSTAT_PP1
2000,Sunflower seed,Producer Price (USD/t),118.1,USD,A,Kazakhstan,FAOSTAT_PP1
2001,Sunflower seed,Producer Price (USD/t),129.0,USD,A,Kazakhstan,FAOSTAT_PP1
2002,Sunflower seed,Producer Price (USD/t),168.1,USD,A,Kazakhstan,FAOSTAT_PP1
2003,Sunflower seed,Producer Price (USD/t),160.9,USD,A,Kazakhstan,FAOSTAT_PP1
2004,Sunflower seed,Producer Price (USD/t),184.7,USD,A,Kazakhstan,FAOSTAT_PP1
2005,Sunflower seed,Producer Price (USD/t),197.3,USD,A,Kazakhstan,FAOSTAT_PP1
2006,Sunflower seed,Producer Price (USD/t),217.0,USD,A,Kazakhstan,FAOSTAT_PP1
2007,Sunflower seed,Producer Price (USD/t),238.8,USD,A,Kazakhstan,FAOSTAT_PP1
2008,Sunflower seed,Producer Price (USD/t),336.7,USD,A,Kazakhstan,FAOSTAT_PP1
2009,Sunflower seed,Producer Price (USD/t),287.3,USD,A,Kazakhstan,FAOSTAT_PP1
2010,Sunflower seed,Producer Price (USD/t),295.9,USD,A,Kazakhstan,FAOSTAT_PP1
2011,Sunflower seed,Producer Price (USD/t),454.8,USD,A,Kazakhstan,FAOSTAT_PP1
2012,Sunflower seed,Producer Price (USD/t),406.2,USD,A,Kazakhstan,FAOSTAT_PP1
2013,Sunflower seed,Producer Price (USD/t),473.9,USD,A,Kazakhstan,FAOSTAT_PP1
2014,Sunflower seed,Producer Price (USD/t),322.5,USD,A,Kazakhstan,FAOSTAT_PP1
2015,Sunflower seed,Producer Price (USD/t),277.0,USD,A,Kazakhstan,FAOSTAT_PP1
2016,Sunflower seed,Producer Price (USD/t),247.8,USD,A,Kazakhstan,FAOSTAT_PP1
2017,Sunflower seed,Producer Price (USD/t),251.8,USD,A,Kazakhstan,FAOSTAT_PP1
2018,Sunflower seed,Producer Price (USD/t),241.8,USD,A,Kazakhstan,FAOSTAT_PP1
2019,Sunflower seed,Producer Price (USD/t),249.6,USD,A,Kazakhstan,FAOSTAT_PP1
2020,Sunflower seed,Producer Price (USD/t),304.9,USD,A,Kazakhstan,FAOSTAT_PP1
2021,Sunflower seed,Producer Price (USD/t),456.6,USD,A,Kazakhstan,FAOSTAT_PP1
2022,Sunflower seed,Producer Price (USD/t),401.3,USD,A,Kazakhstan,FAOSTAT_PP1
2023,Sunflower seed,Producer Price (USD/t),311.1,USD,A,Kazakhstan,FAOSTAT_PP1
2024,Sunflower seed,Producer Price (USD/t),312.5,USD,A,Kazakhstan,FAOSTAT_PP1
1994,Wheat,Producer Price (USD/t),104.3,USD,A,Kazakhstan,FAOSTAT_PP1
1995,Wheat,Producer Price (USD/t),91.3,USD,A,Kazakhstan,FAOSTAT_PP1
1996,Wheat,Producer Price (USD/t),116.8,USD,A,Kazakhstan,FAOSTAT_PP1
1997,Wheat,Producer Price (USD/t),96.0,USD,A,Kazakhstan,FAOSTAT_PP1
1998,Wheat,Producer Price (USD/t),72.2,USD,A,Kazakhstan,FAOSTAT_PP1
1999,Wheat,Producer Price (USD/t),50.5,USD,A,Kazakhstan,FAOSTAT_PP1
2000,Wheat,Producer Price (USD/t),69.0,USD,A,Kazakhstan,FAOSTAT_PP1
2001,Wheat,Producer Price (USD/t),77.2,USD,A,Kazakhstan,FAOSTAT_PP1
2002,Wheat,Producer Price (USD/t),63.1,USD,A,Kazakhstan,FAOSTAT_PP1
2003,Wheat,Producer Price (USD/t),80.7,USD,A,Kazakhstan,FAOSTAT_PP1
2004,Wheat,Producer Price (USD/t),107.1,USD,A,Kazakhstan,FAOSTAT_PP1
2005,Wheat,Producer Price (USD/t),97.0,USD,A,Kazakhstan,FAOSTAT_PP1
2006,Wheat,Producer Price (USD/t),97.2,USD,A,Kazakhstan,FAOSTAT_PP1
2007,Wheat,Producer Price (USD/t),136.9,USD,A,Kazakhstan,FAOSTAT_PP1
2008,Wheat,Producer Price (USD/t),224.3,USD,A,Kazakhstan,FAOSTAT_PP1
2009,Wheat,Producer Price (USD/t),174.0,USD,A,Kazakhstan,FAOSTAT_PP1
2010,Wheat,Producer Price (USD/t),148.1,USD,A,Kazakhstan,FAOSTAT_PP1
2011,Wheat,Producer Price (USD/t),197.8,USD,A,Kazakhstan,FAOSTAT_PP1
2012,Wheat,Producer Price (USD/t),180.5,USD,A,Kazakhstan,FAOSTAT_PP1
2013,Wheat,Producer Price (USD/t),207.1,USD,A,Kazakhstan,FAOSTAT_PP1
2014,Wheat,Producer Price (USD/t),169.0,USD,A,Kazakhstan,FAOSTAT_PP1
2015,Wheat,Producer Price (USD/t),150.3,USD,A,Kazakhstan,FAOSTAT_PP1
2016,Wheat,Producer Price (USD/t),105.1,USD,A,Kazakhstan,FAOSTAT_PP1
2017,Wheat,Producer Price (USD/t),117.4,USD,A,Kazakhstan,FAOSTAT_PP1
2018,Wheat,Producer Price (USD/t),116.3,USD,A,Kazakhstan,FAOSTAT_PP1
2019,Wheat,Producer Price (USD/t),160.9,USD,A,Kazakhstan,FAOSTAT_PP1
2020,Wheat,Producer Price (USD/t),189.2,USD,A,Kazakhstan,FAOSTAT_PP1
2021,Wheat,Producer Price (USD/t),222.3,USD,A,Kazakhstan,FAOSTAT_PP1
2022,Wheat,Producer Price (USD/t),255.1,USD,A,Kazakhstan,FAOSTAT_PP1
2023,Wheat,Producer Price (USD/t),203.0,USD,A,Kazakhstan,FAOSTAT_PP1
2024,Wheat,Producer Price (USD/t),182.1,USD,A,Kazakhstan,FAOSTAT_PP1
